sku,name,cat,cost,old_web,new_v3_300,diff_pct,margin_old,margin_new,tier,note
BG004,"กระเป๋าผ้า รุ่น Stripe",กระเป๋า,35.5,79,78,-1.3,49.1,48.5,"20–50฿ 2.5×",""
BG005,"กระเป๋าผ้า รุ่น Fold",กระเป๋า,48,107,106,-0.9,49.1,48.7,"20–50฿ 2.5×",""
BG006,"กระเป๋าผ้า รุ่น Essential",กระเป๋า,73,135,119,-11.9,39.9,32.7,"50–300฿ 1.75×",""
BG009,"กระเป๋ากันน้ำ รุ่น Bucket",กระเป๋า,80.5,125,131,4.8,29.6,32.5,"50–300฿ 1.75×",""
BG010,"กระเป๋ากันน้ำ รุ่น Cross body",กระเป๋า,89.5,140,146,4.3,30.1,32.7,"50–300฿ 1.75×",""
BG011,"กระเป๋าพับได้ รุ่น Uno",กระเป๋า,21,35,46,31.4,34,48.3,"20–50฿ 2.5×",""
BG012,"กระเป๋าพับได้ รุ่น Snap",กระเป๋า,13,30,46,53.3,50.7,65.7,"ต่ำกว่า 20฿ 4×",""
BG013,"กระเป๋าพับได้ รุ่น Pico",กระเป๋า,14.5,32,51,59.4,48.7,65.6,"ต่ำกว่า 20฿ 4×",""
BG014,"กระเป๋าพับได้ รุ่น Viva",กระเป๋า,24.5,37,54,45.9,27.8,48.6,"20–50฿ 2.5×",""
BG015,"กระเป๋าพับได้ รุ่น Noma",กระเป๋า,24,54,53,-1.9,49.6,48.7,"20–50฿ 2.5×",""
BG016,"กระเป๋าพับได้ รุ่น Noma Edition",กระเป๋า,26,59,57,-3.4,49.9,48.4,"20–50฿ 2.5×",""
BG017,"กระเป๋า รุ่น Urban",กระเป๋า,162,253,264,4.3,30,32.6,"50–300฿ 1.75×",""
BG018,"กระเป๋าผ้าหูรูด รุ่น Drawstring",กระเป๋า,19.5,49,69,40.8,54.2,65.7,"ต่ำกว่า 20฿ 4×",""
BG019,"กระเป๋าผ้าสักหลาด รุ่น Felt Bag",กระเป๋า,20.2,80,44,-45,68.8,48.1,"20–50฿ 2.5×",""
BG020,"กระเป๋า Puffy รุ่น Cloud",กระเป๋า,78,99,127,28.3,15.2,32.6,"50–300฿ 1.75×",""
BG021,"กระเป๋า Puffy รุ่น Vera",กระเป๋า,57.5,290,94,-67.6,74.2,32.8,"50–300฿ 1.75×",""
BG022,"กระเป๋า รุ่น Ivy",กระเป๋า,185,483,301,-37.7,55.7,32.5,"50–300฿ 1.75×",""
BG023,"กระเป๋า รุ่น Drift",กระเป๋า,310,110,466,323.6,-187.8,27.5,"300–500฿ 1.6×",""
BG024,"กระเป๋า รุ่น Airzip",กระเป๋า,125,110,203,84.5,-19.6,32.4,"50–300฿ 1.75×",""
BG025,"กระเป๋ารุ่น Power",กระเป๋า,220,110,358,225.5,-106,32.5,"50–300฿ 1.75×",""
BG026,"กระเป๋าผ้ากระสอบ Light",กระเป๋า,23.45990433,110,52,-52.7,72.7,48.9,"20–50฿ 2.5×",""
BG028,"กระเป๋า รุ่น Axis",กระเป๋า,205,110,334,203.6,-92.4,32.6,"50–300฿ 1.75×",""
BG029,"กระเป๋า รุ่น Vector",กระเป๋า,275,110,448,307.3,-156,32.6,"50–300฿ 1.75×",""
BG030,"กระเป๋า รุ่น Neo",กระเป๋า,410,110,617,460.9,-278.7,27.5,"300–500฿ 1.6×",""
BG033,"กระเป๋าเครื่องสำอาง รุ่น Zuno",กระเป๋า,152,110,247,124.5,-44.2,32.5,"50–300฿ 1.75×",""
BG034,"กระเป๋าพับได้ รุ่น Luma",กระเป๋า,25.75,110,57,-48.2,70.6,48.8,"20–50฿ 2.5×",""
BG035,"กระเป๋าพับได้ รุ่น Horey",กระเป๋า,50,110,81,-26.4,48.5,32.3,"50–300฿ 1.75×",""
BG036,"กระเป๋าพับได้ รุ่น Longee",กระเป๋า,67.5,110,110,0,32.6,32.6,"50–300฿ 1.75×",""
BG037,"กระเป๋า รุ่น Shu",กระเป๋า,75,110,122,10.9,25.8,32.5,"50–300฿ 1.75×",""
BG038,"กระเป๋าเครื่องสำอาง รุ่น Honey",กระเป๋า,46,110,101,-8.2,52.2,48.5,"20–50฿ 2.5×",""
BG039,"กระเป๋าเครื่องสำอาง รุ่น Charm",กระเป๋า,70,110,114,3.6,30.4,32.6,"50–300฿ 1.75×",""
BG040,"กระเป๋าเครื่องสำอาง รุ่น Glow",กระเป๋า,47.5,110,105,-4.5,50.8,48.8,"20–50฿ 2.5×",""
BG041,"กระเป๋าผ้า รุ่น Flora",กระเป๋า,85.5,110,139,26.4,16.3,32.5,"50–300฿ 1.75×",""
BG044,"ถุงเก็บความเย็น รุ่น Fresh Keep",กระเป๋า,5.25,110,18,-83.6,89.2,64.8,"ต่ำกว่า 20฿ 4×",""
BG045,"กระเป๋าเก็บความเย็น รุ่น Chill Keep",กระเป๋า,26.5,110,58,-47.3,69.9,48.3,"20–50฿ 2.5×",""
BG047,"กระเป๋าเครื่องสำอาง รุุ่่น ฺ Bunny",กระเป๋า,111.153,110,181,64.5,-7,32.6,"50–300฿ 1.75×",""
BG048,"กระเป๋าเครื่องสำอาง รุ่น Berry",กระเป๋า,111.153,110,181,64.5,-7,32.6,"50–300฿ 1.75×",""
BG050,"กระเป๋าผ้า รุ่น Loom",กระเป๋า,113,110,184,67.3,-8.7,32.6,"50–300฿ 1.75×",""
BG051,"กระเป๋าผ้า รุ่น Petal",กระเป๋า,78,110,127,15.5,23.1,32.6,"50–300฿ 1.75×",""
BG052,"กระเป๋าผ้า รุ่น Meadow",กระเป๋า,47.00000000000001,110,103,-6.4,51.3,48.4,"20–50฿ 2.5×",""
LG001,"กระเป๋าเดินทาง รุ่น Lumo",กระเป๋าเดินทาง,845,310,1148,270.3,-178.6,20.4,"800–1,000฿ 1.4×",""
SC007,"แผ่นน้ำหอมปรับอาากาศ รุ่น Fresher",กลิ่น & สมุนไพร,14,40,49,22.5,59,65.4,"ต่ำกว่า 20฿ 4×",""
GS001,"เซตของขวัญ Business รุ่น Basic",กิฟต์เซ็ต,120.5,190,196,3.2,30.6,32.5,"50–300฿ 1.75×",""
GS002,"เซตของขวัญ Business รุ่น Smart",กิฟต์เซ็ต,227,350,369,5.4,29.1,32.5,"50–300฿ 1.75×",""
GS003,"เซตของขวัญ Business รุ่น Executive",กิฟต์เซ็ต,257,420,418,-0.5,32.8,32.5,"50–300฿ 1.75×",""
GS004,"เซตของขวัญ Aroma รุ่น Bouquet",กิฟต์เซ็ต,176,230,286,24.3,17.5,32.5,"50–300฿ 1.75×",""
GS005,"เซตของขวัญ Living รุ่น Grain 6 pack",กิฟต์เซ็ต,90.5,230,147,-36.1,54.7,32.4,"50–300฿ 1.75×",""
GS006,"เซตของขวัญ Drinkware รุ่น Stainless",กิฟต์เซ็ต,176,230,286,24.3,17.5,32.5,"50–300฿ 1.75×",""
GS008,"เซตของขวัญ Aroma รุ่น Bouquet",กิฟต์เซ็ต,176,230,286,24.3,17.5,32.5,"50–300฿ 1.75×",""
GS009,"เซตของขวัญ Aroma รุ่น Bouquet Plus",กิฟต์เซ็ต,176,230,286,24.3,17.5,32.5,"50–300฿ 1.75×",""
GS010,"เซตเทียนหอม รุ่น Finley",กิฟต์เซ็ต,242.5,230,395,71.7,-11.4,32.6,"50–300฿ 1.75×",""
GD001,"รีโมทพรีเซนต์ รุ่น Curvy",แกดเจ็ต,110,390,179,-54.1,65.8,32.5,"50–300฿ 1.75×",""
GD004,"เครื่องชั่งน้ำหนักแบบพกพา รุ่น Zen",แกดเจ็ต,43.39687,390,95,-75.6,82.9,48.3,"20–50฿ 2.5×",""
GD005,"ปลั๊กอเนกประสงค์  รุ่น Cube",แกดเจ็ต,195,390,317,-18.7,44,32.5,"50–300฿ 1.75×",""
GD006,"ปลั๊กอเนกประสงค์  รุ่น Much",แกดเจ็ต,47,390,103,-73.6,81.9,48.4,"20–50฿ 2.5×",""
GD007,"ปลั๊กอเนกประสงค์  รุ่น Much",แกดเจ็ต,145,390,236,-39.5,56.8,32.6,"50–300฿ 1.75×",""
DW001,"กระบอกน้ำสแตนเลส รุ่น Loopa",แก้ว & กระบอกน้ำ,108,170,176,3.5,30.5,32.6,"50–300฿ 1.75×",""
DW002,"แก้วน้ำสแตนเลส  รุ่น Brewy",แก้ว & กระบอกน้ำ,98,155,159,2.6,30.8,32.4,"50–300฿ 1.75×",""
DW003,"แก้วน้ำสแตนเลส  รุ่น Peak",แก้ว & กระบอกน้ำ,88,135,143,5.9,28.8,32.5,"50–300฿ 1.75×",""
DW004,"แก้วน้ำสแตนเลส  รุ่น Cupsy",แก้ว & กระบอกน้ำ,65.5,117,107,-8.5,38,32.8,"50–300฿ 1.75×",""
DW005,"แก้วน้ำสแตนเลส  รุ่น Sip",แก้ว & กระบอกน้ำ,65,126,106,-15.9,42.4,32.7,"50–300฿ 1.75×",""
DW006,"แก้วน้ำสแตนเลส รุ่น Milo",แก้ว & กระบอกน้ำ,90.5,140,147,5,29.4,32.4,"50–300฿ 1.75×",""
DW007,"กระบอกน้ำสแตนเลส รุ่น Chill",แก้ว & กระบอกน้ำ,113,175,184,5.1,29.4,32.6,"50–300฿ 1.75×",""
DW008,"แก้วน้ำสแตนเลส รุ่น Flow",แก้ว & กระบอกน้ำ,75.5,135,123,-8.9,38.1,32.6,"50–300฿ 1.75×",""
DW009,"กระบอกน้ำสแตนเลส รุ่น Trekka",แก้ว & กระบอกน้ำ,85.5,155,139,-10.3,38.8,32.5,"50–300฿ 1.75×",""
DW010,"แก้วน้ำสแตนเลส รุ่น Roam",แก้ว & กระบอกน้ำ,128,200,208,4,30,32.5,"50–300฿ 1.75×",""
DW012,"กระบอกน้ำสแตนเลส รุ่น Degree",แก้ว & กระบอกน้ำ,77,175,125,-28.6,50,32.4,"50–300฿ 1.75×",""
DW013,"กระบอกน้ำสแตน รุ่น Cord",แก้ว & กระบอกน้ำ,75.45,175,123,-29.7,50.9,32.7,"50–300฿ 1.75×",""
DW015,"กระบอกน้ำสแตนเลส รุ่น Ring",แก้ว & กระบอกน้ำ,93,175,151,-13.7,40.9,32.4,"50–300฿ 1.75×",""
DW016,"แก้วน้ำสแตนเลส รุ่น Jewel",แก้ว & กระบอกน้ำ,205.5,180,334,85.6,-20.2,32.5,"50–300฿ 1.75×",""
DW017,"แก้วเชค รุ่น Shaky",แก้ว & กระบอกน้ำ,49.5,100,109,9,44.5,48.6,"20–50฿ 2.5×",""
DW018,"กระบอกน้ำสแตนเลส รุ่น Steel",แก้ว & กระบอกน้ำ,140,175,228,30.3,14,32.6,"50–300฿ 1.75×",""
